CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"22,350.00","1,430",6.30,7.75,780,-0.10,7.75,15.79,106,85,114,
,-,-,-,-,-,-,-,-,-,-,"22,400.00","1,560",6.50,13.25,65,0.15,8.00,15.52,63,57,90,
,-,-,-,-,-,-,-,-,-,-,"22,450.00",780,6.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,500.00",520,7.75,9.60,910,-0.50,8.60,14.99,98,30,251,
,-,-,-,-,-,-,-,-,-,-,"22,550.00","1,560",6.00,18.90,260,-,-,16.07,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,600.00","1,560",6.30,21.45,65,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,650.00","1,560",6.50,12.00,65,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,700.00","1,560",6.00,16.75,65,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,750.00",325,5.60,34.90,260,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,800.00",65,9.20,12.80,65,2.80,13.65,13.97,3,1,31,
,-,-,-,-,-,-,-,-,-,-,"22,850.00","1,560",8.00,23.90,195,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,900.00",780,8.30,19.00,"1,755",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,950.00",780,8.00,21.90,130,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,000.00",130,13.00,19.05,"1,105",-72.65,13.15,12.38,30,22,22,
,-,-,-,-,-,-,-,-,-,-,"23,050.00",910,9.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,100.00","1,755",10.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,150.00",910,9.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,200.00","1,560",12.30,40.00,325,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,250.00","1,755",17.10,27.85,"1,300",0.85,19.40,11.38,312,113,187,
,-,-,-,-,-,-,-,-,-,-,"23,300.00",780,15.30,46.30,325,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,350.00","1,560",15.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,400.00",910,15.75,55.70,325,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,450.00","1,560",16.50,100.00,65,-,-,-,-,-,-,
,3,-,-,-,-,-,-,-,-,-,"23,500.00",715,25.00,63.85,65,-,-,-,-,-,-,
,1,-,-,-,-,-,195,870.35,895.95,195,"23,550.00",910,23.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,600.00",390,26.50,75.85,65,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,650.00",390,30.60,-,-,-,-,-,-,-,-,
,4,-,2,13.18,785.75,-21.15,195,735.85,758.20,195,"23,700.00",325,37.20,89.45,65,-,-,-,-,-,-,
,4,-,-,-,-,-,260,691.80,716.80,260,"23,750.00",910,41.65,-,-,-,-,-,-,-,-,
,6,-,1,12.60,697.90,-22.15,65,653.00,673.85,65,"23,800.00",65,56.05,63.00,65,0.35,60.40,9.69,474,158,270,
,-,-,-,-,-,-,-,-,-,-,"23,850.00",390,55.75,115.55,65,-,-,-,-,-,-,
,10,-,5,12.06,613.15,-10.90,65,570.15,587.90,65,"23,900.00",325,65.75,138.35,65,-,-,-,-,-,-,
,6,-,-,6.74,-,-,260,527.35,546.15,260,"23,950.00",390,72.75,-,-,-,-,-,-,-,-,
,122,25,134,9.92,495.00,-43.90,65,494.65,506.80,65,"24,000.00",65,93.45,97.80,65,2.75,95.40,9.22,626,116,361,
,-,-,-,-,-,-,260,439.95,479.60,65,"24,050.00",325,94.95,180.15,195,-,-,-,-,-,-,
,164,2,62,9.74,422.00,-49.35,65,417.50,430.70,65,"24,100.00",195,118.70,120.85,195,2.80,119.25,9.00,254,51,281,
,10,-1,15,9.97,395.30,-31.55,65,381.75,395.30,65,"24,150.00",195,132.80,179.35,455,-,-,-,-,-,-,
,215,-16,140,9.69,357.30,-34.95,65,352.60,358.80,130,"24,200.00",65,149.65,151.70,195,7.10,151.40,8.89,870,194,668,
,23,3,34,9.98,335.30,-19.25,65,314.90,329.10,65,"24,250.00",195,166.20,168.90,195,8.75,170.85,8.89,143,-34,67,
,346,188,696,9.46,293.95,-36.75,65,290.00,297.65,65,"24,300.00",195,184.50,186.95,195,6.30,184.70,8.60,"1,132",30,300,
,73,37,163,9.37,264.90,-35.25,65,258.75,269.00,65,"24,350.00",195,205.05,207.70,195,-311.20,206.55,8.56,59,23,23,
,294,79,482,9.20,235.50,-36.40,195,234.70,237.40,195,"24,400.00",195,227.05,229.70,195,16.55,228.30,8.45,577,88,154,
,53,5,99,9.12,210.00,-46.20,195,208.50,211.45,195,"24,450.00",65,246.75,258.05,65,20.30,254.00,8.43,38,6,24,
,"1,092",223,"1,355",8.94,183.70,-35.55,195,185.10,187.35,195,"24,500.00",65,275.30,281.85,325,17.95,278.70,8.29,542,126,317,
,24,2,84,9.41,175.75,-31.40,195,163.60,166.20,195,"24,550.00",390,286.10,321.50,390,-,-,-,-,-,-,
,223,82,836,8.84,142.65,-27.90,195,144.15,146.40,195,"24,600.00",195,318.60,351.65,715,-,-,-,-,-,-,
,-,-,-,-,-,-,195,125.45,193.00,195,"24,650.00",-,-,-,-,-,-,-,-,-,-,
,43,43,137,8.71,107.70,-210.70,65,107.75,113.45,65,"24,700.00",65,395.15,408.95,65,-314.05,406.55,8.21,43,27,27,
,-,-,-,-,-,-,"1,820",77.35,165.85,650,"24,750.00",-,-,-,-,-,-,-,-,-,-,
,77,77,219,8.71,81.60,-202.20,65,80.15,85.25,65,"24,800.00",-,-,-,-,-,-,-,-,-,-,
,132,-20,196,8.67,69.65,-17.25,65,70.05,80.80,65,"24,850.00",-,-,-,-,-,-,-,-,-,-,
,88,85,304,8.79,62.10,-53.85,65,60.05,63.20,65,"24,900.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,910,40.60,127.00,"2,600","24,950.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,51.10,118.45,"3,315","25,000.00",195,622.90,649.40,195,-,-,13.21,-,-,-,
,-,-,-,-,-,-,910,31.05,110.35,"3,250","25,050.00",-,-,-,-,-,-,-,-,-,-,
,537,537,794,8.91,34.20,-163.50,65,33.35,37.60,65,"25,100.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,910,23.55,95.40,"3,250","25,150.00",-,-,-,-,-,-,-,-,-,-,
,226,63,264,8.93,24.50,-3.10,"1,755",24.10,24.95,65,"25,200.00",-,-,-,-,-,-,-,-,-,-,
,1,-,-,13.01,-,-,780,15.50,82.25,"3,250","25,250.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,780,13.80,76.20,"3,640","25,300.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,470",9.60,70.50,"3,250","25,350.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",9.80,65.15,"3,965","25,400.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,910,9.55,60.10,"3,250","25,450.00",-,-,-,-,-,-,-,-,-,-,
,275,97,511,9.46,10.75,-1.00,"1,755",10.05,14.00,650,"25,500.00",-,-,-,-,-,-,-,-,-,-,
,1,-,-,14.72,-,-,65,10.10,51.05,"3,250","25,550.00",-,-,-,-,-,-,-,-,-,-,
,53,51,87,9.77,8.80,-30.30,260,6.65,8.95,130,"25,600.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",5.10,43.15,"3,250","25,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",4.30,39.55,"3,900","25,700.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",3.60,36.25,"3,250","25,750.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",4.40,33.15,"3,900","25,800.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",3.60,30.30,"3,250","25,850.00",-,-,-,-,-,-,-,-,-,-,
,325,58,274,10.74,5.25,-1.00,65,4.70,5.35,65,"25,900.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",3.00,22.05,"2,600","25,950.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",2.50,18.40,"4,550","26,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",2.50,14.85,"2,600","26,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",2.50,11.60,"1,300","26,100.00",-,-,-,-,-,-,-,-,-,-,
