CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,650,"1,429.20","2,378.45","1,690","22,600.00",-,-,78.40,195,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"2,370.25","1,690","22,650.00",-,-,150.55,"1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"2,299.45","1,690","22,700.00",-,-,90.60,195,-43.35,100.00,15.15,1,-,-,
,-,-,-,-,-,-,-,-,"2,229.90","1,690","22,750.00",-,-,181.75,"1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"2,141.90","3,380","22,800.00",-,-,122.00,65,-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,776.25","2,109.10",195,"22,850.00",-,-,182.40,"1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,735.10","2,079.70","3,380","22,900.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,690.85","2,307.10","3,380","22,950.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,647.00","2,037.90",195,"23,000.00",-,-,114.15,"8,905",-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,603.30","2,060.70","3,380","23,050.00",-,-,250.85,"1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,559.90","1,908.25","3,380","23,100.00",-,-,216.15,325,-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,516.70","1,856.20","1,690","23,150.00",-,-,301.85,"1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,474.05","1,794.55","3,380","23,200.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,431.40","1,832.80","1,690","23,250.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,389.10","1,772.80","3,380","23,300.00",-,-,320.95,455,-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,347.10","1,756.20","3,380","23,350.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,305.45","1,842.55",195,"23,400.00",-,-,371.15,"1,755",-,-,-,-,-,-,
,-,-,-,-,-,-,260,"1,264.25","1,690.95","3,380","23,450.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,455,"1,227.95","1,326.90",520,"23,500.00",-,-,183.15,"1,625",-,-,-,-,-,-,
,-,-,-,-,-,-,260,"1,183.10","1,291.10",195,"23,550.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,260,"1,147.20","1,358.30",975,"23,600.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,260,"1,104.60","1,208.80",195,"23,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,520,"1,057.00","1,220.30",650,"23,700.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,024.05","1,244.60",975,"23,750.00",-,-,-,-,-,-,-,-,-,-,
,1,-,2,8.56,"1,067.85",-224.85,845,991.20,"1,061.75",130,"23,800.00",-,-,513.90,"1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,195,948.80,"1,164.70",975,"23,850.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,455,919.20,"1,332.45",715,"23,900.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,876.20,"1,457.40",975,"23,950.00",-,-,576.85,975,-,-,-,-,-,-,
,746,-,"1,058",8.31,902.35,-263.55,130,895.05,906.55,65,"24,000.00",-,-,260.40,"5,785",-214.40,260.40,12.13,18,-,18,
,-,-,-,-,-,-,195,812.80,"1,308.20",975,"24,050.00",-,-,-,-,-,-,-,-,-,-,
