CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,117,28,30,18.33,"2,405.00",265.00,65,"2,258.85","2,299.90",65,"22,250.00","1,040",21.15,22.20,65,-2.60,21.95,14.10,565,-24,"2,841",
,-,-,-,-,-,-,520,"1,762.80","2,403.10","1,690","22,300.00",325,21.70,24.10,"1,690",-1.60,23.60,14.03,263,11,997,
,-,-,-,-,-,-,"1,690","1,752.20","2,354.80","1,690","22,350.00","1,755",20.65,32.00,130,-,-,14.60,-,-,33,
,-,-,-,-,-,-,520,"1,700.25","2,302.40","1,690","22,400.00",845,23.30,27.00,130,-4.90,25.00,13.67,121,-18,590,
,-,-,-,-,-,-,"1,690","1,475.55","2,252.85","1,690","22,450.00","1,560",20.30,37.15,"1,690",-,-,15.58,-,-,13,
,142,11,17,-,"2,056.40",-29.50,130,"2,030.10","2,051.20",65,"22,500.00",195,28.20,29.00,"1,105",-1.20,28.95,13.54,"3,245",387,"6,969",
,-,-,-,-,-,-,"1,690","1,396.75","2,152.65","1,690","22,550.00","1,560",26.00,38.00,65,-19.55,27.05,13.09,13,-,11,
,-,-,-,-,-,-,520,"1,505.85","2,099.95","1,690","22,600.00",585,28.50,32.70,65,-3.00,28.50,12.96,125,28,235,
,-,-,-,-,-,-,"1,690","1,304.55","2,053.00","1,690","22,650.00",130,26.10,38.90,130,-2.70,50.80,14.47,1,1,15,
,4,-,-,-,-,-,520,"1,379.35","1,954.05","1,690","22,700.00",65,30.10,36.00,65,-1.15,33.30,12.85,688,83,899,
,-,-,-,-,-,-,520,"1,247.65","1,981.55","1,690","22,750.00",910,27.05,67.00,260,-,-,-,-,-,-,
,-,-,-,-,-,-,520,"1,219.80","1,931.35","1,690","22,800.00",780,28.60,67.90,390,-,-,-,-,-,-,
,-,-,-,-,-,-,520,"1,192.25","1,855.95","1,690","22,850.00",-,-,69.75,325,-,-,-,-,-,-,
,-,-,-,-,-,-,520,"1,164.90","1,803.85","1,690","22,900.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,520,"1,137.80","1,751.95","1,690","22,950.00",-,-,103.25,"1,690",-,-,-,-,-,-,
,468,105,191,-,"1,573.75",-29.60,65,"1,557.40","1,578.85",65,"23,000.00",65,45.00,46.90,130,-2.70,47.20,12.18,"6,465",97,"13,973",
,1,-,-,-,-,-,"1,755","1,161.80","1,637.40","1,690","23,050.00",-,-,87.35,130,-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,167.25","1,597.50",195,"23,100.00",65,50.00,52.45,65,-3.70,51.40,11.85,"1,402",33,"1,134",
,-,-,-,-,-,-,"1,755","1,072.85","1,446.25",195,"23,150.00",-,-,179.40,"1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,195,"1,363.15","1,399.50",195,"23,200.00",-,-,100.00,65,-,-,-,-,-,-,
,-,-,-,-,-,-,520,982.35,"1,614.40","1,690","23,250.00",-,-,119.30,"1,690",-,-,-,-,-,-,
,30,-,-,-,-,-,195,"1,277.55","1,304.60",195,"23,300.00",65,65.35,67.50,130,-1.20,67.00,11.49,"3,855",-796,"2,930",
,1,-,-,-,-,-,520,926.50,"1,264.45",195,"23,350.00",-,-,-,-,-,-,-,-,-,-,
,6,-,-,-,-,-,195,"1,186.30","1,218.75",195,"23,400.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,917.20,"1,250.50",195,"23,450.00",65,80.50,83.70,65,-0.10,82.00,11.23,656,49,916,
,718,-54,162,6.83,"1,117.00",-46.50,65,"1,112.50","1,127.90",65,"23,500.00",65,87.90,90.00,65,-5.35,87.65,11.14,"7,362",864,"10,809",
,-,-,-,-,-,-,195,746.10,"1,088.90",195,"23,550.00",-,-,-,-,-,-,-,-,-,-,
,1,-,1,7.10,"1,028.05",-,195,802.75,"1,047.30",195,"23,600.00",130,101.50,104.40,65,-5.05,101.50,11.02,"1,458",282,"1,873",
,-,-,-,-,-,-,260,976.45,"1,190.30",325,"23,650.00",-,-,-,-,-,-,-,-,-,-,
,41,-1,3,8.42,963.35,-36.00,65,941.00,967.70,65,"23,700.00",65,117.60,120.15,65,-1.75,118.65,10.95,"2,361",84,"2,524",
,-,-,-,9.22,-,-,195,895.80,922.40,195,"23,750.00",-,-,-,-,-,-,-,-,-,-,
,71,9,29,7.83,866.45,-51.85,65,857.20,877.05,65,"23,800.00",65,132.85,135.15,65,-1.65,134.00,10.74,"3,245","1,023","3,329",
,-,-,-,-,-,-,195,815.35,843.75,195,"23,850.00",-,-,-,-,-,-,-,-,-,-,
,28,-4,30,8.60,805.00,-46.95,65,781.50,810.05,65,"23,900.00",195,154.15,159.10,65,2.25,156.65,10.70,"1,016",206,"1,563",
,-,-,-,-,-,-,195,740.65,766.20,195,"23,950.00",-,-,382.35,"1,690",-,-,-,-,-,-,
,"5,303",433,"3,021",8.53,726.45,-40.40,130,721.00,728.45,65,"24,000.00",65,181.75,182.55,65,3.95,182.75,10.68,"7,431",708,"13,886",
,15,-,-,-,-,-,65,675.80,693.35,195,"24,050.00",65,191.60,194.95,130,7.05,194.90,10.61,62,36,43,
,355,23,222,8.19,642.45,-63.80,65,642.65,657.15,65,"24,100.00",65,206.65,208.60,65,7.05,209.20,10.58,"1,131",373,835,
,15,-3,11,9.05,636.05,-16.20,130,607.85,620.80,195,"24,150.00",65,221.70,224.60,130,1.60,225.55,10.59,496,-167,254,
,"1,632",-32,490,8.44,581.00,-41.35,650,580.00,582.75,130,"24,200.00",65,237.10,239.30,130,7.25,237.00,10.44,"1,890",290,"3,249",
,73,3,34,8.71,557.80,-34.80,65,541.15,556.05,65,"24,250.00",65,253.75,256.25,65,21.35,255.65,10.46,649,-16,265,
,"1,482",503,"1,336",8.64,523.25,-40.90,65,517.15,520.95,130,"24,300.00",65,272.00,273.95,65,6.85,273.95,10.45,"1,978",353,"1,702",
,42,31,78,8.47,486.00,-50.05,65,478.65,493.45,65,"24,350.00",130,289.20,292.80,130,13.00,292.70,10.43,213,83,160,
,"1,152",189,752,8.52,458.10,-40.75,65,456.50,459.50,65,"24,400.00",130,307.85,311.80,65,14.50,311.45,10.39,"1,162",229,"2,002",
,123,4,29,8.66,434.85,-41.90,65,420.90,434.75,65,"24,450.00",130,329.70,333.75,130,-5.25,312.00,9.86,41,10,160,
,"9,269","1,468","6,529",8.49,400.55,-39.10,65,398.00,400.70,65,"24,500.00",130,351.25,353.10,65,10.55,350.80,10.28,"4,488",561,"8,797",
,131,62,107,8.51,374.95,-34.00,65,370.80,375.45,130,"24,550.00",65,368.85,382.05,65,21.10,380.70,10.45,97,66,158,
