CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"12,000.00",325,4.20,8.40,650,-,-,49.38,-,-,280,
,-,-,-,-,-,-,-,-,-,-,"13,000.00",390,4.20,9.50,650,-,-,45.09,-,-,132,
,-,-,-,-,-,-,-,-,-,-,"14,000.00",195,5.65,9.70,260,-,-,39.67,-,-,145,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",195,8.20,10.00,"1,690",-1.45,8.55,35.50,26,-5,"1,824",
,4,-,-,-,-,-,-,-,"9,400.00",65,"16,000.00",195,10.70,11.95,65,-1.05,10.60,32.23,16,9,"1,774",
,-,-,-,-,-,-,-,-,-,-,"16,500.00","1,755",7.20,19.00,650,-,-,30.53,-,-,52,
,-,-,-,-,-,-,-,-,-,-,"17,000.00",65,12.60,13.60,260,-1.00,13.50,29.17,164,16,"2,885",
,26,-,-,-,-,-,-,-,-,-,"18,000.00",325,17.85,18.40,"1,365",-1.10,18.00,26.33,238,-20,"7,911",
,832,-2,6,-,"5,670.00",-0.85,65,"5,660.00","5,695.95",65,"19,000.00",65,23.50,24.00,"2,145",-1.45,24.00,23.52,517,-79,"9,446",
,-,-,-,-,-,-,-,-,-,-,"19,500.00",65,24.25,25.40,65,-0.75,25.40,21.79,483,2,"2,162",
,"9,139",101,173,-,"4,675.00",-63.80,130,"4,674.75","4,700.00",130,"20,000.00",65,29.15,29.40,390,-1.10,29.40,20.38,"1,869",24,"17,482",
,"3,083",-7,17,-,"3,748.00",-35.65,65,"3,726.10","3,759.50",65,"21,000.00",65,37.95,38.50,"1,300",-1.05,38.45,17.43,"3,178",189,"16,456",
,"4,116",16,60,-,"2,793.85",-64.10,65,"2,791.10","2,819.00",65,"22,000.00",520,60.10,60.95,195,-2.95,60.95,14.99,"8,807",950,"26,396",
,254,-3,14,-,"2,388.00",8.90,65,"2,340.95","2,364.30",65,"22,500.00",455,84.30,85.50,"1,040",-3.55,84.55,14.04,"6,427","-1,365","12,956",
,"4,982",-38,216,-,"1,900.50",-54.55,65,"1,898.05","1,916.25",65,"23,000.00",260,127.60,129.25,65,-3.80,128.50,13.44,"6,476",366,"42,853",
,"19,117",116,"2,964",7.34,"1,101.00",-43.70,325,"1,101.00","1,106.00",65,"24,000.00",65,295.00,296.00,"3,575",5.25,296.00,12.44,"7,105",38,"37,228",
,"35,837",210,"4,241",8.55,508.00,-23.15,325,508.00,510.35,65,"25,000.00",130,668.05,670.00,65,30.75,668.05,12.27,"4,169",796,"31,660",
,"15,010",254,"2,699",8.66,307.10,-12.80,65,305.00,307.35,65,"25,500.00",130,940.25,953.00,65,24.80,936.90,12.26,673,311,"6,121",
,"51,252","2,067","7,387",8.83,176.20,-8.40,390,176.20,178.00,520,"26,000.00",65,"1,294.10","1,299.95",65,43.75,"1,300.10",13.11,818,-9,"22,084",
,"39,282","1,051","4,705",9.58,59.25,-2.25,130,59.30,59.90,845,"27,000.00",195,"2,144.20","2,161.65",65,32.30,"2,149.95",15.62,151,18,"14,541",
,"25,223",234,"2,434",10.88,26.45,-0.05,325,26.40,26.65,455,"28,000.00",65,"3,083.45","3,103.45",130,36.95,"3,083.85",18.94,243,-59,"14,037",
,"1,844",70,420,11.57,19.10,0.30,520,19.10,19.65,195,"28,500.00",-,-,-,-,-,-,18.03,-,-,2,
,"8,467",-3,595,12.20,13.80,0.65,130,13.40,13.85,455,"29,000.00",130,"4,021.85","4,060.15",65,10.80,"4,006.50",21.26,172,54,"3,365",
,"12,427",37,502,13.89,10.00,0.15,195,9.70,9.95,"1,690","30,000.00",65,"4,981.05","5,045.90",65,21.50,"4,990.00",25.16,13,-4,"5,871",
,"2,455",13,93,15.58,8.05,0.70,130,8.00,8.05,585,"31,000.00",-,-,-,-,-,-,-,-,-,-,
,478,-,21,16.24,6.80,0.65,65,5.25,7.80,65,"31,500.00",-,-,-,-,-,-,-,-,-,-,
,"1,622",-,5,18.04,4.15,0.40,65,3.70,4.10,"1,755","33,000.00",-,-,-,-,-,-,-,-,-,-,
,15,-,-,20.14,-,-,130,2.60,4.90,325,"34,500.00",-,-,-,-,-,-,-,-,-,-,
